contract_id,file_name,file_path,file_hash,file_size_bytes,upload_time,document_type,extraction_status,total_pages,extracted_text_uri,raw_gcs_uri,processing_batch_id,source_system,created_at
CTR-0A351C8591CB,01_Master_Services_Agreement_High_Risk.pdf,C:\Workspace\SPR-WS\contract-shield-ai\contract_input_pack\01_Master_Services_Agreement_High_Risk.pdf,61d1b1a1bb983dadae228161f95f09919d27e5154133d5115688ed42640024a5,3595,2026-06-14 13:49:37.591835 UTC,pdf,COMPLETED,1,gs://contract-risk-05cb579e/docai-output/batch-20260614-134910/01_Master_Services_Agreement_High_Risk.pdf.json,gs://contract-risk-05cb579e/raw-contracts/batch-20260614-134910/01_Master_Services_Agreement_High_Risk.pdf,batch-20260614-134910,local_folder,2026-06-14 13:49:37.591848 UTC
CTR-B9F28362B79B,02_Software_Licence_Agreement_Medium_Risk.pdf,C:\Workspace\SPR-WS\contract-shield-ai\contract_input_pack\02_Software_Licence_Agreement_Medium_Risk.pdf,fb898c97205956f0ee4238b179b5c59e558cf6b4522351702ab211bcdb2c4c81,3157,2026-06-14 13:49:49.055707 UTC,pdf,COMPLETED,1,gs://contract-risk-05cb579e/docai-output/batch-20260614-134910/02_Software_Licence_Agreement_Medium_Risk.pdf.json,gs://contract-risk-05cb579e/raw-contracts/batch-20260614-134910/02_Software_Licence_Agreement_Medium_Risk.pdf,batch-20260614-134910,local_folder,2026-06-14 13:49:49.055730 UTC
CTR-4BE8D6DA03B3,03_Non_Disclosure_Agreement_Low_Risk.pdf,C:\Workspace\SPR-WS\contract-shield-ai\contract_input_pack\03_Non_Disclosure_Agreement_Low_Risk.pdf,1de6cb640fbc9c6ceca00214eeb88b83cd85cd7378eb2f57d74cd7ccd980f0ea,3108,2026-06-14 13:50:02.114721 UTC,pdf,COMPLETED,1,gs://contract-risk-05cb579e/docai-output/batch-20260614-134910/03_Non_Disclosure_Agreement_Low_Risk.pdf.json,gs://contract-risk-05cb579e/raw-contracts/batch-20260614-134910/03_Non_Disclosure_Agreement_Low_Risk.pdf,batch-20260614-134910,local_folder,2026-06-14 13:50:02.114734 UTC
CTR-DFAF17A13D74,04_Data_Processing_Addendum_High_Risk.pdf,C:\Workspace\SPR-WS\contract-shield-ai\contract_input_pack\04_Data_Processing_Addendum_High_Risk.pdf,7b89d38b78f8fdcd2b22854b11b7e46fce1b65b3507844f22a9a8f0ecf958ee6,3018,2026-06-14 13:50:12.826151 UTC,pdf,COMPLETED,1,gs://contract-risk-05cb579e/docai-output/batch-20260614-134910/04_Data_Processing_Addendum_High_Risk.pdf.json,gs://contract-risk-05cb579e/raw-contracts/batch-20260614-134910/04_Data_Processing_Addendum_High_Risk.pdf,batch-20260614-134910,local_folder,2026-06-14 13:50:12.826172 UTC
CTR-B378A05887AA,05_Procurement_Framework_Agreement_Mixed_Risk.pdf,C:\Workspace\SPR-WS\contract-shield-ai\contract_input_pack\05_Procurement_Framework_Agreement_Mixed_Risk.pdf,7375544419f558b47da42de627ca8933219714e9550ac301f1b1d5c8cda4dfc7,3118,2026-06-14 13:50:23.082292 UTC,pdf,COMPLETED,1,gs://contract-risk-05cb579e/docai-output/batch-20260614-134910/05_Procurement_Framework_Agreement_Mixed_Risk.pdf.json,gs://contract-risk-05cb579e/raw-contracts/batch-20260614-134910/05_Procurement_Framework_Agreement_Mixed_Risk.pdf,batch-20260614-134910,local_folder,2026-06-14 13:50:23.082303 UTC
